case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell211,10.0,22,2036101523,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,10.0,23,2036101524,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,24,2036101525,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,25,2036101526,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,26,2036101527,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,27,2036101528,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,10.0,28,2036101529,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell211,10.0,29,2036101530,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,30,2036101531,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,31,2036101532,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,32,2036101533,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,33,2036101534,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,10.0,34,2036101535,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,35,2036101536,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,36,2036101537,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,37,2036101538,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,38,2036101539,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,39,2036101540,256,5,5,0,0,5,251,0.0
confirmation_umi_12prb_cell211,10.0,40,2036101541,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,10.0,41,2036101542,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,42,2036101543,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,43,2036101544,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,44,2036101545,256,3,2,1,0,2,253,0.00390625
confirmation_umi_12prb_cell211,10.0,45,2036101546,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,46,2036101547,256,1,1,0,0,1,255,0.0
